Artist,Title,Price,Low Estimate,High Estimate,Signature,Dummy Signature,Height,Width,Depth,Edition,Year Created,Medium,Medium_new,Medium_Method_Category,Auction Lot,Auction Date,Auction Year,Auction House
Yiqing Tao,Untitled,not communicated,8110,12970,Unavailable,0,125,59,,,N/A,Ink and color / Paper,Works on Paper,Ink,3059,1/11/2014,2014,Poly International Auction Co.
Feng Yu,Untitled,not communicated,3242,4863,Unavailable,0,42,67,,,N/A,Ink and color / Paper,Works on Paper,Ink,3060,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,not communicated,3242,4863,Unavailable,0,68,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3061,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,not communicated,3242,4863,Unavailable,0,69,69,,,N/A,Ink and color / Paper,Works on Paper,Ink,3062,1/11/2014,2014,Poly International Auction Co.
Zhongshi Ouyang,Untitled,not communicated,8110,12970,Unavailable,0,114,48,,,N/A,Ink / Paper,Works on Paper,Ink,3063,1/11/2014,2014,Poly International Auction Co.
Zhongshi Ouyang,Untitled,not communicated,6480,9730,Unavailable,0,138,69,,,N/A,Ink / Paper,Works on Paper,Ink,3064,1/11/2014,2014,Poly International Auction Co.
Zhongshi Ouyang,Untitled,not communicated,9730,14590,Unavailable,0,96,60,,,N/A,Ink / Paper,Works on Paper,Ink,3065,1/11/2014,2014,Poly International Auction Co.
Zhongshi Ouyang,Untitled,not communicated,12970,19450,Unavailable,0,137,68,,,N/A,Ink / Paper,Works on Paper,Ink,3066,1/11/2014,2014,Poly International Auction Co.
Yuru Wu,Untitled,not communicated,2431,4863,Unavailable,0,93,33,,,N/A,Ink / Paper,Works on Paper,Ink,3067,1/11/2014,2014,Poly International Auction Co.
Juewen Hu,Untitled,not communicated,1296,2431,Unavailable,0,96,34,,,N/A,Ink / Paper,Works on Paper,Ink,3068,1/11/2014,2014,Poly International Auction Co.
Liqun Yu,Untitled,not communicated,3242,8110,Unavailable,0,69,138,,,N/A,Ink / Paper,Works on Paper,Ink,3069,1/11/2014,2014,Poly International Auction Co.
Buqing Su,Untitled,not communicated,810,1296,Unavailable,0,69,38,,,N/A,Ink / Paper,Works on Paper,Ink,3070,1/11/2014,2014,Poly International Auction Co.
Sheng Kang,Untitled,not communicated,6480,9730,Unavailable,0,245,165,,,N/A,Ink / Paper,Works on Paper,Ink,3071,1/11/2014,2014,Poly International Auction Co.
Moruo Guo,Untitled,not communicated,12970,19450,Unavailable,0,25,16,,,N/A,Ink / Paper,Works on Paper,Ink,3072,1/11/2014,2014,Poly International Auction Co.
Moruo Guo,Untitled,not communicated,1621,4863,Unavailable,0,26,18,,,N/A,Ink / Paper,Works on Paper,Ink,3073,1/11/2014,2014,Poly International Auction Co.
Beihong Xu,Untitled,not communicated,4863,9730,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3074,1/11/2014,2014,Poly International Auction Co.
Congwen Shen,Untitled,not communicated,8110,12970,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3075,1/11/2014,2014,Poly International Auction Co.
Zhongshu Qian,Untitled,not communicated,12970,16210,Unavailable,0,26,39,,,N/A,Ink / Paper,Works on Paper,Ink,3076,1/11/2014,2014,Poly International Auction Co.
Zuoren & Shufang Wu & Xiao,Untitled,not communicated,5670,8920,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3077,1/11/2014,2014,Poly International Auction Co.
Shi Hu,Untitled,not communicated,16210,24320,Unavailable,0,26,18,,,N/A,Ink / Paper,Works on Paper,Ink,3078,1/11/2014,2014,Poly International Auction Co.
Daqian Zhang,Untitled,not communicated,12970,19450,Unavailable,0,23,45,,,N/A,Ink / Paper,Works on Paper,Ink,3079,1/11/2014,2014,Poly International Auction Co.
Daqian Zhang,Untitled,not communicated,12970,19450,Unavailable,0,28,40,,,N/A,Ink / Paper,Works on Paper,Ink,3080,1/11/2014,2014,Poly International Auction Co.
Qianyu & Ming Ye & Ya,Untitled (2),not communicated,1621,3242,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3081,1/11/2014,2014,Poly International Auction Co.
Ding Zhang,Untitled,not communicated,8110,9730,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3083,1/11/2014,2014,Poly International Auction Co.
Haisu & Dingyi Liu & Lu,Untitled (2),not communicated,2755,4863,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3084,1/11/2014,2014,Poly International Auction Co.
Su Hai,Untitled,not communicated,3242,4863,Unavailable,0,12,85,,,N/A,Ink and color / Paper,Works on Paper,Ink,3087,1/11/2014,2014,Poly International Auction Co.
Shuaiying Ren,Untitled (5),not communicated,8110,9730,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3088,1/11/2014,2014,Poly International Auction Co.
Lang Jin,Untitled (4),not communicated,1621,4863,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3089,1/11/2014,2014,Poly International Auction Co.
Chensheng Dong,Untitled,not communicated,1621,3242,Unavailable,0,29,19,,,N/A,Ink / Paper,Works on Paper,Ink,3090,1/11/2014,2014,Poly International Auction Co.
Huanqi Wang,Untitled,not communicated,3242,6480,Unavailable,0,,,,,N/A,Ink / Paper,Works on Paper,Ink,3091,1/11/2014,2014,Poly International Auction Co.
Haoyi Jia,Untitled,not communicated,7290,12970,Unavailable,0,135,68,,,N/A,Ink / Paper,Works on Paper,Ink,3092,1/11/2014,2014,Poly International Auction Co.
DaWei Liu,Untitled,not communicated,19450,32420,Unavailable,0,46,66,,,N/A,Ink and color / Paper,Works on Paper,Ink,3093,1/11/2014,2014,Poly International Auction Co.
Mingming Wang,Untitled,not communicated,8110,12970,Unavailable,0,44,34,,,N/A,Ink and color / Paper,Works on Paper,Ink,3094,1/11/2014,2014,Poly International Auction Co.
Mingming Wang,Untitled,not communicated,12970,19450,Unavailable,0,68,46,,,N/A,Ink and color / Paper,Works on Paper,Ink,3095,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,not communicated,1621,3242,Unavailable,0,23,65,,,N/A,Ink / Paper,Works on Paper,Ink,3097,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,not communicated,810,2431,Unavailable,0,68,31,,,N/A,Ink and color / Paper,Works on Paper,Ink,3098,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,not communicated,1621,3242,Unavailable,0,92,65,,,N/A,Ink / Paper,Works on Paper,Ink,3099,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,not communicated,16210,24320,Unavailable,0,45,70,,,N/A,Ink and color / Paper,Works on Paper,Ink,3100,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,not communicated,16210,24320,Unavailable,0,45,68,,,N/A,Ink / Paper,Works on Paper,Ink,3101,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,not communicated,6480,9730,Unavailable,0,34,34,,,N/A,Ink / Paper,Works on Paper,Ink,3102,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,not communicated,9730,12970,Unavailable,0,61,44,,,N/A,Ink and color / Paper,Works on Paper,Ink,3103,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,not communicated,9730,12970,Unavailable,0,45,54,,,N/A,Ink and color / Paper,Works on Paper,Ink,3104,1/11/2014,2014,Poly International Auction Co.
Sicong Zhou,Untitled,not communicated,8110,12970,Unavailable,0,34,46,,,N/A,Ink and color / Paper,Works on Paper,Ink,3105,1/11/2014,2014,Poly International Auction Co.
Zhou Huang,Untitled,not communicated,12970,24320,Unavailable,0,26,47,,,N/A,Ink and color / Paper,Works on Paper,Ink,3106,1/11/2014,2014,Poly International Auction Co.
Xiceng Wu,Untitled,not communicated,3242,4863,Unavailable,0,128,48,,,N/A,Ink and color / Paper,Works on Paper,Ink,3107,1/11/2014,2014,Poly International Auction Co.
Jingting Wu,Untitled,not communicated,3242,4863,Unavailable,0,65,33,,,N/A,Ink / Paper,Works on Paper,Ink,3108,1/11/2014,2014,Poly International Auction Co.
Huaimin Zhou,Untitled,not communicated,1621,4863,Unavailable,0,44,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3109,1/11/2014,2014,Poly International Auction Co.
Wenzhi Song,Untitled,not communicated,4863,9730,Unavailable,0,19,27,,,N/A,Ink / Paper,Works on Paper,Ink,3110,1/11/2014,2014,Poly International Auction Co.
Xinhai & Binglin Shen & Zhang,Untitled,not communicated,9730,12970,Unavailable,0,20,53,,,N/A,Ink and color / Paper,Works on Paper,Ink,3111,1/11/2014,2014,Poly International Auction Co.
Zheng & Fu Ren & Sha,Untitled,not communicated,1296,2431,Unavailable,0,19,51,,,N/A,Ink and color / Paper,Works on Paper,Ink,3112,1/11/2014,2014,Poly International Auction Co.
Yigeng Fei,Untitled,not communicated,810,1296,Unavailable,0,17,47,,,N/A,Ink and color / Paper,Works on Paper,Ink,3113,1/11/2014,2014,Poly International Auction Co.
Pan Zhenyong,Untitled,not communicated,810,1296,Unavailable,0,17,52,,,N/A,Ink and color / Paper,Works on Paper,Ink,3114,1/11/2014,2014,Poly International Auction Co.
Xiaoman & Daqian Lu & Zhang,Untitled,not communicated,8110,12970,Unavailable,0,18,48,,,N/A,Ink and color / Paper,Works on Paper,Ink,3115,1/11/2014,2014,Poly International Auction Co.
Borun Yang,Untitled,not communicated,1296,1945,Unavailable,0,19,55,,,N/A,Ink / Paper,Works on Paper,Ink,3116,1/11/2014,2014,Poly International Auction Co.
Baishi Qi,Untitled,not communicated,45390,81050,Unavailable,0,19,50,,,N/A,Ink and color / Paper,Works on Paper,Ink,3117,1/11/2014,2014,Poly International Auction Co.
Yutang Lin,Untitled,not communicated,1621,3242,Unavailable,0,19,55,,,N/A,Ink / Paper,Works on Paper,Ink,3118,1/11/2014,2014,Poly International Auction Co.
Xiaoman Lu,Untitled,not communicated,1621,2431,Unavailable,0,19,55,,,N/A,Ink and color / Paper,Works on Paper,Ink,3119,1/11/2014,2014,Poly International Auction Co.
Yi Ren,Untitled,not communicated,1621,3242,Unavailable,0,18,51,,,N/A,Ink and color / Paper,Works on Paper,Ink,3120,1/11/2014,2014,Poly International Auction Co.
Sitong Tan,Untitled,not communicated,1621,3242,Unavailable,0,18,51,,,N/A,Ink and color / Paper,Works on Paper,Ink,3120A,1/11/2014,2014,Poly International Auction Co.
Yiting Wang,Untitled,not communicated,1296,2431,Unavailable,0,155,47,,,N/A,Ink and color / Paper,Works on Paper,Ink,3121,1/11/2014,2014,Poly International Auction Co.
Zheng Wu,Untitled,not communicated,1296,2431,Unavailable,0,169,48,,,N/A,Ink and color / Paper,Works on Paper,Ink,3122,1/11/2014,2014,Poly International Auction Co.
Zhen Wang,Untitled,not communicated,1296,2431,Unavailable,0,177,94,,,N/A,Ink and color / Paper,Works on Paper,Ink,3123,1/11/2014,2014,Poly International Auction Co.
Zhen Wang,Untitled,not communicated,1296,2431,Unavailable,0,137,40,,,N/A,Ink and color / Paper,Works on Paper,Ink,3124,1/11/2014,2014,Poly International Auction Co.
Qifeng Sun,Untitled,not communicated,4863,8110,Unavailable,0,68,49,,,N/A,Ink and color / Paper,Works on Paper,Ink,3125,1/11/2014,2014,Poly International Auction Co.
Bojun Liu,Untitled,not communicated,1296,2431,Unavailable,0,68,69,,,N/A,Ink and color / Paper,Works on Paper,Ink,3126,1/11/2014,2014,Poly International Auction Co.
Zifan Cui,Untitled,not communicated,1296,2431,Unavailable,0,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3127,1/11/2014,2014,Poly International Auction Co.
Geyi Wang,Untitled,not communicated,1296,2431,Unavailable,0,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3128,1/11/2014,2014,Poly International Auction Co.
Liang Guan,Untitled,not communicated,6480,9730,Unavailable,0,67,41,,,N/A,Ink and color / Paper,Works on Paper,Ink,3129,1/11/2014,2014,Poly International Auction Co.
Jiangyue Wei,Untitled,not communicated,3242,6480,Unavailable,0,68,45,,,N/A,Ink / Paper,Works on Paper,Ink,3130,1/11/2014,2014,Poly International Auction Co.
Shixuan Zheng,Untitled,not communicated,1296,2431,Unavailable,0,76,39,,,N/A,Ink and color / Paper,Works on Paper,Ink,3131,1/11/2014,2014,Poly International Auction Co.
Fei'an Yu,Untitled,not communicated,24320,40530,Unavailable,0,77,35,,,N/A,Ink and color / Silk,Works on Paper,Ink,3131A,1/11/2014,2014,Poly International Auction Co.
Tianmu Yao,Untitled (2),not communicated,9730,12970,Unavailable,0,,,,,N/A,Ink and color / Paper,Works on Paper,Ink,3133,1/11/2014,2014,Poly International Auction Co.
Zhenshi Xu,Untitled,not communicated,4863,8110,Unavailable,0,69,136,,,N/A,Mixed Media / Paper,Mixed Media,Mixed Media,3140,1/11/2014,2014,Poly International Auction Co.
Yachen Wang,Untitled,not communicated,3242,6480,Unavailable,0,34,92,,,N/A,Ink and color / Paper,Works on Paper,Ink,3142,1/11/2014,2014,Poly International Auction Co.
Cheng Jin,Untitled,not communicated,1621,4863,Unavailable,0,143,33,,,N/A,Ink and color / Paper,Works on Paper,Ink,3143,1/11/2014,2014,Poly International Auction Co.
Xiaoyun Shang,Untitled,not communicated,3242,6480,Unavailable,0,110,49,,,N/A,Ink and color / Paper,Works on Paper,Ink,3145,1/11/2014,2014,Poly International Auction Co.
Tian Ni,Untitled,not communicated,4052,6480,Unavailable,0,105,41,,,N/A,Ink and color / Paper,Works on Paper,Ink,3146,1/11/2014,2014,Poly International Auction Co.
Yulin Song,Untitled (4),not communicated,3242,6480,Unavailable,0,,,,,N/A,Ink and color / Paper,Works on Paper,Ink,3147,1/11/2014,2014,Poly International Auction Co.
Yulin Song,Untitled (4),not communicated,12970,16210,Unavailable,0,,,,,N/A,Ink and color / Paper,Works on Paper,Ink,3148,1/11/2014,2014,Poly International Auction Co.
Yanliu Shang,Untitled,not communicated,1621,3242,Unavailable,0,82,37,,,N/A,Ink / Paper,Works on Paper,Ink,3149,1/11/2014,2014,Poly International Auction Co.
Xiao Junxian,Untitled,not communicated,2431,3242,Unavailable,0,108,39,,,N/A,Ink / Paper,Works on Paper,Ink,3150,1/11/2014,2014,Poly International Auction Co.
Yunsheng Sun,Untitled,not communicated,2431,4863,Unavailable,0,101,50,,,N/A,Ink and color / Paper,Works on Paper,Ink,3151,1/11/2014,2014,Poly International Auction Co.
Weibao Wang,Untitled,not communicated,1621,3242,Unavailable,0,48,49,,,N/A,Ink and color / Paper,Works on Paper,Ink,3153,1/11/2014,2014,Poly International Auction Co.
Xueshi Bai,Untitled,27960,162,486,Artist's Seal,1,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3201,1/11/2014,2014,Poly International Auction Co.
Shibai Lou,Untitled,11180,162,486,Artist's Seal,1,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3202,1/11/2014,2014,Poly International Auction Co.
Jinghan He,Untitled,932,162,486,Artist's Seal,1,61,43,,,N/A,Ink / Paper,Works on Paper,Ink,3206,1/11/2014,2014,Poly International Auction Co.
Dazhang Chen,Untitled,2236,162,486,Artist's Seal,1,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3207,1/11/2014,2014,Poly International Auction Co.
Shijian Zhang,Untitled,1491,162,486,Artist's Seal,1,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3208,1/11/2014,2014,Poly International Auction Co.
Guang Zhang,Untitled,1864,162,486,Artist's Seal,1,61,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3209,1/11/2014,2014,Poly International Auction Co.
Yingchun Wang,Untitled,1864,1296,2431,Artist's Seal,1,66,65,,,N/A,Ink and color / Paper,Works on Paper,Ink,3211,1/11/2014,2014,Poly International Auction Co.
Du Yingqiang,Untitled,-not sold-,4863,8110,Artist's Seal,1,69,69,,,N/A,Ink / Paper,Works on Paper,Ink,3212,1/11/2014,2014,Poly International Auction Co.
Ximing Lin,Untitled,-not sold-,3242,6480,Artist's Seal,1,68,46,,,N/A,Ink and color / Paper,Works on Paper,Ink,3213,1/11/2014,2014,Poly International Auction Co.
Maoshan Liu,Untitled,-not sold-,2431,4052,Artist's Seal,1,68,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3214,1/11/2014,2014,Poly International Auction Co.
Jiangfan Wei,Untitled,6900,3242,4863,Artist's Seal,1,68,136,,,N/A,Ink / Paper,Works on Paper,Ink,3215,1/11/2014,2014,Poly International Auction Co.
Jiangfan Wei,Untitled,3728,2431,4052,Artist's Seal,1,49,83,,,N/A,Ink / Paper,Works on Paper,Ink,3216,1/11/2014,2014,Poly International Auction Co.
Xiguang Ma,Untitled,-not sold-,7780,9400,Artist's Seal,1,67,138,,,N/A,Ink and color / Paper,Works on Paper,Ink,3217,1/11/2014,2014,Poly International Auction Co.
Xianguo Zeng,Untitled,-not sold-,3242,4863,Artist's Seal,1,64,152,,,N/A,Ink and color / Paper,Works on Paper,Ink,3218,1/11/2014,2014,Poly International Auction Co.
Fengbai Jiang,Untitled,-not sold-,4863,8110,Artist's Seal,1,69,68,,,N/A,Ink / Paper,Works on Paper,Ink,3219,1/11/2014,2014,Poly International Auction Co.
Qiqing Ye,Untitled,5970,3242,6480,Artist's Seal,1,81,89,,,N/A,Ink and color / Silk,Works on Paper,Ink,3220,1/11/2014,2014,Poly International Auction Co.
Gongkai Pan,Untitled,1864,1621,3242,Artist's Seal,1,60,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3221,1/11/2014,2014,Poly International Auction Co.
Shang Tao,Untitled,14910,8110,12970,Artist's Seal,1,138,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3222,1/11/2014,2014,Poly International Auction Co.
Yujue Wang,Untitled,-not sold-,1621,3242,Artist's Seal,1,69,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3223,1/11/2014,2014,Poly International Auction Co.
Chunyang Huo,Untitled,-not sold-,6480,9730,Artist's Seal,1,96,60,,,N/A,Ink / Paper,Works on Paper,Ink,3224,1/11/2014,2014,Poly International Auction Co.
Qifeng Sun,Untitled,10250,4863,9730,Artist's Seal,1,68,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3225,1/11/2014,2014,Poly International Auction Co.
Miao Zhong'an,Untitled,-not sold-,2917,4538,Artist's Seal,1,68,69,,,N/A,Ink and color / Paper,Works on Paper,Ink,3226,1/11/2014,2014,Poly International Auction Co.
Dongting Cheng,Untitled,-not sold-,1296,2431,Artist's Seal,1,54,65,,,N/A,Ink and color / Paper,Works on Paper,Ink,3227,1/11/2014,2014,Poly International Auction Co.
Baolin Li,Untitled,2796,2431,4052,Artist's Seal,1,61,48,,,N/A,Ink and color / Paper,Works on Paper,Ink,3228,1/11/2014,2014,Poly International Auction Co.
Taisong Pang,Untitled,-not sold-,1621,3242,Artist's Seal,1,80,49,,,N/A,Ink and color / Paper,Works on Paper,Ink,3229,1/11/2014,2014,Poly International Auction Co.
Yang Fan,Untitled,3355,2593,4214,Artist's Seal,1,49,69,,,N/A,Ink and color / Paper,Works on Paper,Ink,3230,1/11/2014,2014,Poly International Auction Co.
Weibao Wang,Untitled,-not sold-,2431,4052,Artist's Seal,1,50,82,,,N/A,Ink and color / Paper,Works on Paper,Ink,3231,1/11/2014,2014,Poly International Auction Co.
Weibao Wang,Untitled,-not sold-,2431,4052,Artist's Seal,1,67,65,,,N/A,Ink and color / Paper,Works on Paper,Ink,3232,1/11/2014,2014,Poly International Auction Co.
Zhixue Yu,Untitled,-not sold-,3242,6480,Artist's Seal,1,136,69,,,N/A,Ink and color / Paper,Works on Paper,Ink,3233,1/11/2014,2014,Poly International Auction Co.
Zhixue Yu,Untitled,-not sold-,2431,4052,Artist's Seal,1,68,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3234,1/11/2014,2014,Poly International Auction Co.
Yongqiang Chen,Untitled,21440,9730,19450,Artist's Seal,1,89,97,,,N/A,Ink and color / Paper,Works on Paper,Ink,3235,1/11/2014,2014,Poly International Auction Co.
Yong Lin,Untitled,-not sold-,24320,40530,Artist's Seal,1,65,65,,,N/A,Ink and color / Paper,Works on Paper,Ink,3236,1/11/2014,2014,Poly International Auction Co.
Yong Lin,Untitled,-not sold-,24320,40530,Artist's Seal,1,138,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3237,1/11/2014,2014,Poly International Auction Co.
Wang Ziwu,Untitled,-not sold-,24320,40530,Artist's Seal,1,69,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3238,1/11/2014,2014,Poly International Auction Co.
PuChu Zhao,Untitled,46600,40530,56740,Artist's Seal,1,42,13,,,N/A,Ink / Paper,Works on Paper,Ink,3247,1/11/2014,2014,Poly International Auction Co.
PuChu Zhao,Untitled,55920,32420,64840,Artist's Seal,1,65,28,,,N/A,Ink / Paper,Works on Paper,Ink,3248,1/11/2014,2014,Poly International Auction Co.
Gong Qi,Untitled,50330,32420,48630,Artist's Seal,1,102,34,,,N/A,Ink / Paper,Works on Paper,Ink,3249,1/11/2014,2014,Poly International Auction Co.
Gong Qi,Untitled,29830,24320,48630,Artist's Seal,1,69,34,,,N/A,Ink / Paper,Works on Paper,Ink,3250,1/11/2014,2014,Poly International Auction Co.
Gong Qi,Untitled,48470,24320,40530,Artist's Seal,1,68,45,,,N/A,Ink / Paper,Works on Paper,Ink,3251,1/11/2014,2014,Poly International Auction Co.
Gong Qi,Untitled,46600,32420,48630,Artist's Seal,1,70,34,,,N/A,Ink / Paper,Works on Paper,Ink,3252,1/11/2014,2014,Poly International Auction Co.
Gong Qi,Untitled,74570,48630,97260,Artist's Seal,1,133,66,,,N/A,Ink / Paper,Works on Paper,Ink,3253,1/11/2014,2014,Poly International Auction Co.
Moruo Guo,Untitled,111850,97260,145890,Artist's Seal,1,129,66,,,N/A,Ink / Paper,Works on Paper,Ink,3254,1/11/2014,2014,Poly International Auction Co.
Baishi Qi,CRABS AND SHRIMPS,195740,129680,194520,Artist's Seal,1,98,32,,,N/A,Ink / Paper,Works on Paper,Ink,3256,1/11/2014,2014,Poly International Auction Co.
Baishi Qi,Untitled,-not sold-,129680,194520,Artist's Seal,1,138,19,,,N/A,Ink and color / Paper,Works on Paper,Ink,3257,1/11/2014,2014,Poly International Auction Co.
Zifan Cui,Untitled,1864,1621,4863,Artist's Seal,1,67,44,,,N/A,Ink and color / Paper,Works on Paper,Ink,3262,1/11/2014,2014,Poly International Auction Co.
Xueshi Bai,Untitled,205060,129680,194520,Artist's Seal,1,69,138,,,N/A,Ink and color / Paper,Works on Paper,Ink,3263,1/11/2014,2014,Poly International Auction Co.
Cen Xuegong,Untitled,3728,1621,4863,Artist's Seal,1,68,44,,,N/A,Ink and color / Paper,Works on Paper,Ink,3264,1/11/2014,2014,Poly International Auction Co.
Kegang Sun,Untitled,-not sold-,2431,4052,Artist's Seal,1,81,50,,,N/A,Ink and color / Paper,Works on Paper,Ink,3265,1/11/2014,2014,Poly International Auction Co.
Qixiang Zong,Unitled,67110,3242,6480,,0,45,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3266,1/11/2014,2014,Poly International Auction Co.
Hejun Zhuo,Untitled,1864,1621,3242,,0,59,44,,,N/A,Ink and color / Paper,Works on Paper,Ink,3267,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,46600,9730,14590,Artist's Seal,1,45,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3268,1/11/2014,2014,Poly International Auction Co.
Qifeng Sun,Untitled,13980,4863,9730,Artist's Seal,1,68,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3269,1/11/2014,2014,Poly International Auction Co.
Baomin Jia,Untitled,-not sold-,3242,6480,Artist's Seal,1,70,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3270,1/11/2014,2014,Poly International Auction Co.
Yunyu Zhao,Untitled,-not sold-,3242,6480,Artist's Seal,1,33,43,,,N/A,Ink and color / Paper,Works on Paper,Ink,3271,1/11/2014,2014,Poly International Auction Co.
Qizhan Zhu,Untitled,-not sold-,4863,8110,Artist's Seal,1,45,68,,,N/A,Ink and color / Paper,Works on Paper,Ink,3272,1/11/2014,2014,Poly International Auction Co.
Yun Tang,Untitled,-not sold-,9730,12970,Artist's Seal,1,68,94,,,N/A,Ink and color / Paper,Works on Paper,Ink,3273,1/11/2014,2014,Poly International Auction Co.
Shouping Dong,Untitled,-not sold-,24320,48630,Artist's Seal,1,82,53,,,N/A,Ink and color / Paper,Works on Paper,Ink,3274,1/11/2014,2014,Poly International Auction Co.
Qianyu Ye,Untitled,-not sold-,32420,48630,Artist's Seal,1,96,89,,,N/A,Ink and color / Paper,Works on Paper,Ink,3275,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,55920,48630,97260,Artist's Seal,1,53,81,,,N/A,Ink / Paper,Works on Paper,Ink,3276,1/11/2014,2014,Poly International Auction Co.
Kuchan Li,Untitled,48470,32420,64840,Artist's Seal,1,69,46,,,N/A,Ink and color / Paper,Works on Paper,Ink,3277,1/11/2014,2014,Poly International Auction Co.
Lingcang Liu,Untitled,20510,8110,12970,Artist's Seal,1,109,51,,,N/A,Ink and color / Paper,Works on Paper,Ink,3278,1/11/2014,2014,Poly International Auction Co.
Lingcang Liu,Untitled,20510,6480,9730,Artist's Seal,1,96,47,,,N/A,Ink and color / Paper,Works on Paper,Ink,3279,1/11/2014,2014,Poly International Auction Co.
Lingcang Liu,Untitled,-not sold-,16210,32420,Artist's Seal,1,114,59,,,N/A,Ink and color / Paper,Works on Paper,Ink,3280,1/11/2014,2014,Poly International Auction Co.
Shibai Lou,Untitled,-not sold-,12970,24320,Artist's Seal,1,88,48,,,N/A,Ink and color / Paper,Works on Paper,Ink,3281,1/11/2014,2014,Poly International Auction Co.
Chuanzhang Guo,Untitled,5590,4863,8110,Artist's Seal,1,96,50,,,N/A,Ink and color / Paper,Works on Paper,Ink,3282,1/11/2014,2014,Poly International Auction Co.
Chuanzhang Guo,Untitled,3728,3242,6480,Artist's Seal,1,66,43,,,N/A,Ink / Paper,Works on Paper,Ink,3283,1/11/2014,2014,Poly International Auction Co.
Ding Zhang,Untitled,55920,48630,81050,Artist's Seal,1,68,45,,,N/A,Ink / Paper,Works on Paper,Ink,3284,1/11/2014,2014,Poly International Auction Co.
Ru Pu,Untitled,27960,24320,40530,Artist's Seal,1,95,40,,,N/A,Ink and color / Paper,Works on Paper,Ink,3291,1/11/2014,2014,Poly International Auction Co.
Ru Pu,Untitled,15850,1621,3242,Artist's Seal,1,35,18,,,N/A,Ink and color / Silk,Works on Paper,Ink,3293,1/11/2014,2014,Poly International Auction Co.
Ru Pu,Untitled,7080,6160,8110,Artist's Seal,1,13,133,,,N/A,Ink and color / Paper,Works on Paper,Ink,3294,1/11/2014,2014,Poly International Auction Co.
Daqian Zhang,Untitled,149130,81050,129680,Artist's Seal,1,18,45,,,N/A,Ink and color / Paper,Works on Paper,Ink,3295,1/11/2014,2014,Poly International Auction Co.
Daqian Zhang,Untitled,-not sold-,243150,405250,Artist's Seal,1,116,44,,,N/A,Ink and color / Paper,Works on Paper,Ink,3296,1/11/2014,2014,Poly International Auction Co.
Daqian Zhang,Untitled,74570,64840,97260,Artist's Seal,1,94,41,,,N/A,Ink / Paper,Works on Paper,Ink,3297,1/11/2014,2014,Poly International Auction Co.
Haonian Ou,Untitled,14910,12970,24320,Artist's Seal,1,137,65,,,N/A,Ink and color / Paper,Works on Paper,Ink,3298,1/11/2014,2014,Poly International Auction Co.
Yunsheng Sun,Untitled,7460,6480,12970,Artist's Seal,1,88,49,,,N/A,Ink and color / Paper,Works on Paper,Ink,3299,1/11/2014,2014,Poly International Auction Co.
